seed,layer,top_cm,bottom_cm,soil,theta_r,theta_s,alpha_cm_inv,n,ks_cm_d
0,1,0.0,-50.0,Silt,0.030016389,0.46053603,0.0200271,1.3996158,5.9980416
0,2,-50.0,-150.0,Sand,0.071914166,0.42997956,0.14901343,2.6943703,699.2894
0,3,-150.0,-400.0,Sandy Loam,0.06024599,0.4100716,0.075643525,1.9094411,100.051735
1,1,0.0,-50.0,Silt,0.030038316,0.46013588,0.020014696,1.3974887,5.9824553
1,2,-50.0,-150.0,Sand,0.072393104,0.43002605,0.15193437,2.7097473,699.8168
1,3,-150.0,-400.0,Sandy Loam,0.06044545,0.41020817,0.073838085,1.8854265,100.08121
2,1,0.0,-50.0,Silt,0.030021902,0.46088368,0.02003058,1.3992343,5.989193
2,2,-50.0,-150.0,Sand,0.07212922,0.42995736,0.14850944,2.6925776,699.64386
2,3,-150.0,-400.0,Sandy Loam,0.06016422,0.40986136,0.07588723,1.910777,100.02008
3,1,0.0,-50.0,Silt,0.030023031,0.4601521,0.02002861,1.3981423,5.9867525
3,2,-50.0,-150.0,Sand,0.073054254,0.43002477,0.15215316,2.7087016,699.72986
3,3,-150.0,-400.0,Sandy Loam,0.06025635,0.41021276,0.07367088,1.8863066,100.1044
4,1,0.0,-50.0,Silt,0.030031811,0.46138382,0.020073803,1.3966854,5.949966
4,2,-50.0,-150.0,Sand,0.07207553,0.42997897,0.14969712,2.696721,699.38464
4,3,-150.0,-400.0,Sandy Loam,0.060311947,0.4103034,0.07527074,1.905881,100.00878
5,1,0.0,-50.0,Silt,0.030014154,0.46051195,0.020012986,1.399869,5.9934855
5,2,-50.0,-150.0,Sand,0.07195647,0.42998627,0.1484359,2.695624,698.9142
5,3,-150.0,-400.0,Sandy Loam,0.060073152,0.41005674,0.07608588,1.9074616,100.11162
6,1,0.0,-50.0,Silt,0.030041955,0.46088934,0.020046286,1.3977282,5.973255
6,2,-50.0,-150.0,Sand,0.07199476,0.43000177,0.15019941,2.7004428,699.2576
6,3,-150.0,-400.0,Sandy Loam,0.060244218,0.4101658,0.074914545,1.9002383,100.18582
7,1,0.0,-50.0,Silt,0.030042829,0.4607582,0.020053647,1.3971788,5.968894
7,2,-50.0,-150.0,Sand,0.07224088,0.4300042,0.15019718,2.6994524,698.2995
7,3,-150.0,-400.0,Sandy Loam,0.060344208,0.41023883,0.075024016,1.9020662,100.47112
8,1,0.0,-50.0,Silt,0.030024571,0.46096495,0.020039055,1.3980205,5.976303
8,2,-50.0,-150.0,Sand,0.07271177,0.42999586,0.15035295,2.7008238,699.0738
8,3,-150.0,-400.0,Sandy Loam,0.060295627,0.41017538,0.074804224,1.8996396,100.29611
9,1,0.0,-50.0,Silt,0.030012848,0.46027562,0.020023417,1.3997159,5.991356
9,2,-50.0,-150.0,Sand,0.07263336,0.43003622,0.15005222,2.6960664,699.00134
9,3,-150.0,-400.0,Sandy Loam,0.060168408,0.41006166,0.0750466,1.9072661,100.23845
